"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Zwift - Pacer Group Ride: The Big Ring in Watopia with Maria","Bike","","","","2024-01-11","","40514","161","282","694.681","","1.19694447517395","9.40200042724609","","81","","0","0","","","0.640638991372038","48.91","","","","","","","","","","","19","44","7","1","0","0","","","","","",""
"Zwift - Pacer Group Ride: Volcano Circuit in Watopia with Coco","Bike","","","","2024-01-12","","37305.5","192","417","654.547","","0.944494724273682","10.9709997177124","","83","","0","0","","","0.764187231886027","54.74","","","","","","","","","","","6","30","13","4","2","1","","","","","",""
"Zwift - Pacer Group Ride: Volcano Circuit in Watopia with Coco","Bike","","","","2024-01-14","","68088.09375","179","424","1338.223","","2.0699999332428","9.13599967956543","","79","","0","0","","","0.749677965413698","116.08","","","","","","","","","","","29","50","29","12","4","1","","","","","",""
"Zwift - Pacer Group Ride: Triple Flat Loops in Watopia with Maria","Bike","","","","2024-01-15","","37095.03125","160","361","596.617","","1.03201723098755","9.98400020599365","","82","","0","0","","","0.63776722092349","41.68","","","","","","","","","","","16","39","5","1","0","0","","","","","",""
"Zwift - Pacer Group Ride: Triple Flat Loops in Watopia with Maria","Bike","","","","2024-01-18","","36313.26953125","159","333","580.73","","1.00881588459015","9.9980001449585","","80","","0","0","","","0.642725272325709","41.29","","","","","","","","","","","17","35","5","2","0","0","","","","","",""
"Zwift - Pacer Group Ride: The Big Ring in Watopia with Coco","Bike","","","","2024-01-19","","120877.2109375","185","504","2060.075","","3.08222222328186","10.8929996490479","","83","","0","0","","","0.736864832667517","166.59","","","","","","","","","","","22","97","52","13","2","1","","","","","",""
"Zwift - Pacer Group Ride: Volcano Circuit in Watopia with Coco","Bike","","","","2024-01-22","","40381.83984375","204","381","742.045","","1.0091667175293","11.1149997711182","","84","","0","0","","","0.807000997234157","65.25","","","","","","","","","","","3","25","22","8","3","1","","","","","",""
"Zwift - Zone 3 with Sprints in Watopia","Bike","","","","2024-01-24","","53689.53125","168","760","912.297","","1.50472223758698","9.91100025177002","","75","","0","0","","","0.760997323276925","86.89","","","","","","","","","","","51","8","29","0","0","1","","","","","",""
"Zwift - Pacer Group Ride: Volcano Circuit in Watopia with Coco","Bike","","","","2024-01-27","","35556.23046875","196","391","636.949","","0.898888885974884","10.9870004653931","","84","","0","0","","","0.778649440693521","53.98","","","","","","","","","","","3","28","16","4","2","1","","","","","",""
"Zwift - Pacer Group Ride: Volcano Circuit in Watopia with Maria","Bike","","","","2024-01-30","","40407.48828125","209","387","769.156","","1.01972222328186","11.0069999694824","","84","","0","0","","","0.84646014697786","72.64","","","","","","","","","","","6","16","22","13","3","1","","","","","",""
"Zwift - Pacer Group Ride: Volcano Circuit in Watopia with Maria","Bike","","","","2024-01-31","","27740.810546875","161","318","439.319","","0.755277752876282","10.2019996643066","","81","","0","0","","","0.642227992473569","30.81","","","","","","","","","","","13","26","4","2","0","0","","","","","",""
"Zwift - Pacer Group Ride: Flat Route in Watopia with Coco","Bike","","","","2024-02-02","","38889.75","188","333","691.243","","1.02083337306976","10.5819997787476","","81","","0","0","","","0.746080904625619","56.45","","","","","","","","","","","6","32","17","5","1","0","","","","","",""
"Zwift - Pacer Group Ride: Sugar Cookie in Watopia with Coco","Bike","","","","2024-02-05","","48373.0390625","192","370","892.213","","1.2872222661972","10.4379997253418","","84","","0","0","","","0.765038499331669","75.03","","","","","","","","","","","5","37","26","8","1","0","","","","","",""
"Zwift - Pacer Group Ride: Flat Route in Watopia with Maria","Bike","","","","2024-02-06","","37266.44140625","158","930","602.891","","1.05583333969116","9.80399990081787","","81","","0","0","","","0.758546521816479","60.32","","","","","","","","","","","18","39","3","1","0","0","","","","","",""
"Zwift - Pacer Group Ride: Sugar Cookie in Watopia with Maria","Bike","","","","2024-02-15","","51936.21875","161","311","875.475","","1.50499999523163","9.58500003814697","","81","","0","0","","","0.64535179324607","62.41","","","","","","","","","","","26","52","11","1","0","0","","","","","",""
"Zwift - Pacer Group Ride: Sugar Cookie in Watopia with Maria","Bike","","","","2024-02-16","","27507.94921875","184","393","478.051","","0.719444453716278","10.6199998855591","","84","","0","0","","","0.731261805765843","38.05","","","","","","","","","","","4","26","11","1","1","0","","","","","",""
"Zwift - Pacer Group Ride: Sugar Cookie in Watopia with Maria","Bike","","","","2024-02-18","","53685.73828125","169","346","893.618","","1.46111106872559","10.206000328064","","85","","0","0","","","0.68065187321139","67.49","","","","","","","","","","","20","49","15","2","1","0","","","","","",""
"Zwift - Pacer Group Ride: Volcano Flat in Watopia with Maria","Bike","","","","2024-02-20","","64528.6484375","181","341","1099.762","","1.68694448471069","10.625","","85","","0","0","","","0.719008682011917","87.07","","","","","","","","","","","10","62","24","4","1","0","","","","","",""
"Zwift - Pacer Group Ride: Volcano Flat in Watopia with Maria","Bike","","","","2024-02-21","","87112.7265625","159","352","1404.461","","2.44194436073303","9.90900039672852","","82","","0","0","","","0.63158833760583","96.92","","","","","","","","","","","35","100","9","2","0","0","","","","","",""
"Zwift - Pacer Group Ride: Volcano Flat in Watopia with Maria","Bike","","","","2024-02-22","","27468","159","417","441.233","","0.766388893127441","9.95499992370605","","79","","0","0","","","0.635828965289525","30.58","","","","","","","","","","","11","32","2","1","1","0","","","","","",""
"Zwift - Pacer Group Ride: Tick Tock in Watopia with Coco","Bike","","","","2024-02-27","","42021.6484375","192","341","729.174","","1.0538889169693","11.0749998092651","","87","","0","0","","","0.756599974015863","59.71","","","","","","","","","","","2","35","22","4","0","0","","","","","",""
"Zwift - Pacer Group Ride: Tick Tock in Watopia with Coco","Bike","","","","2024-02-29","","100705.0703125","192","361","1754.95","","2.53638887405396","11.0279998779297","","86","","0","0","","","0.754187427641445","143.94","","","","","","","","","","","4","84","56","7","1","0","","","","","",""
"Zwift - Workout of the Week | Ovett's Shark Bites in Watopia","Bike","","","","2024-03-01","","48438.19140625","162","518","816.704","","1.39361107349396","9.6540002822876","","84","","0","0","","","0.698142503486636","67.54","","","","","","","","","","","35","37","2","1","8","1","","","","","",""
"Zwift - Pacer Group Ride: Tempus Fugit in Watopia with Coco","Bike","","","","2024-03-04","","40639.76953125","192","328","696.625","","1.00416672229767","11.2410001754761","","86","","0","0","","","0.756974942128077","57.21","","","","","","","","","","","1","35","21","3","0","0","","","","","",""
"Zwift - Pacer Group Ride: Tempus Fugit in Watopia with Coco","Bike","","","","2024-03-07","","64839.05859375","189","364","1110.773","","1.62361109256744","11.0930004119873","","85","","0","0","","","0.745251519468924","90.12","","","","","","","","","","","3","60","30","4","1","0","","","","","",""
"Zwift - Pacer Group Ride: Tempus Fugit in Watopia with Coco","Bike","","","","2024-03-09","","100829.953125","193","339","1741.458","","2.50388884544373","11.1850004196167","","86","","0","0","","","0.75737575152738","143.46","","","","","","","","","","","2","85","55","7","1","0","","","","","",""
"Zwift - Pacer Group Ride: Tempus Fugit in Watopia with Maria","Bike","","","","2024-03-11","","38155.7890625","162","282","594.773","","1.01666665077209","10.4250001907349","","81","","0","0","","","0.639439232168155","41.16","","","","","","","","","","","8","49","3","0","0","0","","","","","",""
"Zwift - Pacer Group Ride: Triple Flat Loops in Watopia with Coco","Bike","","","","2024-03-14","","40359.69921875","187","404","695.225","","1.03222227096558","10.8610000610352","","78","","0","0","","","0.742725251254147","56.53","","","","","","","","","","","5","37","16","2","1","1","","","","","",""
"Zwift - Pacer Group Ride: Triple Flat Loops in Watopia with Coco","Bike","","","","2024-03-15","","40612.421875","191","385","710.241","","1.03333330154419","10.9169998168945","","82","","0","0","","","0.756922600079176","58.9","","","","","","","","","","","4","33","20","3","1","1","","","","","",""
"Zwift - Pacer Group Ride: The Big Ring in Watopia with Coco","Bike","","","","2024-03-19","","40585.51953125","208","510","774.434","","1.03083336353302","10.9359998703003","","81","","0","0","","","0.835025754152222","71.66","","","","","","","","","","","4","22","22","8","4","2","","","","","",""
"Zwift - New Workout in Watopia","Bike","","","","2024-03-20","","21289.560546875","211","266","442.376","","0.580064952373505","10.1949996948242","","73","","0","0","","","0.914104124164081","47.81","","","","","","","","","","","8","2","0","24","0","0","","","","","",""
"Zwift - Pacer Group Ride: The Big Ring in Watopia with Coco","Bike","","","","2024-03-20","","24513.55078125","161","281","390.44","","0.670000016689301","10.1630001068115","","78","","0","0","","","0.636486585723049","27.02","","","","","","","","","","","9","28","3","0","0","0","","","","","",""
"Zwift - Pacer Group Ride: Triple Flat Loops in Watopia with Maria","Bike","","","","2024-03-22","","40037.73828125","193","460","715.263","","1.01527774333954","10.9540004730225","","85","","0","0","","","0.780977822144532","61.67","","","","","","","","","","","7","28","16","7","2","1","","","","","",""
"Zwift - Arise in Watopia","Bike","","","","2024-03-25","","45307.08984375","193","358","858.685","","1.23083329200745","10.2250003814697","","84","","0","0","","","0.802586350101605","78.88","","","","","","","","","","","22","18","26","2","6","0","","","","","",""
"Zwift - The McCarthy Special in Watopia","Bike","","","","2024-03-26","","35508.2890625","184","324","687.59","","1.03277778625488","9.55000019073486","","80","","0","0","","","0.840857282492981","72.44","","","","","","","","","","","13","27","0","9","9","2","","","","","",""
"Zwift - Pacer Group Ride: Volcano Circuit in Watopia with Coco","Bike","","","","2024-03-27","","39090.73828125","190","736","680.009","","0.98972225189209","10.9709997177124","","86","","0","0","","","0.792174194659614","61.73","","","","","","","","","","","6","30","17","4","2","1","","","","","",""
"Zwift - 1min 5min in Watopia","Bike","","","","2024-04-02","","36220.75","176","877","649.71","","1.01666665077209","9.89599990844727","","82","","0","0","","","0.873181994349351","77.02","","","","","","","","","","","11","39","6","2","1","3","","","","","",""
"Zwift - New Workout in Watopia","Bike","","","","2024-04-04","","37117.01953125","175","504","661.514","","1.04281389713287","9.88599967956543","","82","","0","0","","","0.794080580783386","65.43","","","","","","","","","","","22","27","9","1","1","3","","","","","",""
"Zwift - Pacer Group Ride: Sugar Cookie in Watopia with Coco","Bike","","","","2024-04-09","","64529.05859375","188","450","1201.836","","1.77111113071442","10.1199998855591","","84","","0","0","","","0.753746968983053","100.49","","","","","","","","","","","13","50","30","10","2","1","","","","","",""
"Zwift - Step By Step in Watopia","Bike","","","","2024-04-10","","35819.6015625","176","364","660.92","","1.03638887405396","9.60000038146973","","84","","144","185","","","0.808659490991246","67.72","3","13","23","12","11","","","","","","30","13","3","2","15","0","","","","","",""
"Zwift - The Wringer in Watopia","Bike","","","","2024-04-12","","24293.720703125","169","525","462.954","","0.758333325386047","8.89799976348877","","73","","143","177","","","0.996246697622812","74.48","3","5","21","12","5","","","","","","33","4","2","1","0","5","","","","","",""
"Zwift - 30/30sec Anaerobic #3 in Watopia","Bike","","","","2024-04-18","","29955.169921875","182","500","564.3","","0.85916668176651","9.68400001525879","","77","","146","170","","","0.796410665056296","54.1","2","5","17","25","2","","","","","","27","8","4","0","12","1","","","","","",""
"Zwift - Pacer Group Ride: Watopia's Waistband in Watopia with Coco","Bike","","","","2024-04-22","","48540.41015625","190","374","860.273","","1.25527775287628","10.7410001754761","","85","","146","163","","","0.750400860881269","70.28","0","2","49","24","0","","","","","","4","42","24","5","1","0","","","","","",""
"Zwift - Zwift Academy Road: Workout 7 | VO2 Development in Watopia","Bike","","","","2024-04-23","","43579.30078125","173","342","788.193","","1.2586110830307","9.61800003051758","","76","","145","188","","","0.778364743301828","75.95","8","9","26","18","14","","","","","","38","19","4","4","11","0","","","","","",""
"Zwift - Pacer Group Ride: Watopia's Waistband in Watopia with Coco","Bike","","","","2024-04-24","","40386.421875","189","344","699.139","","1.0252777338028","10.9409999847412","","86","","146","162","","","0.747930798889316","56.84","1","0","35","25","0","","","","","","3","35","19","3","1","0","","","","","",""
"Zwift - 02. Endurance Escalator in Watopia","Bike","","","","2024-04-25","","40528.890625","186","471","793.556","","1.17944443225861","9.54500007629395","","83","","150","195","","","0.820456076785345","79.11","1","8","19","35","8","","","","","","20","14","28","1","5","2","","","","","",""
"Zwift - Pacer Group Ride: Watopia's Waistband in Watopia with Coco","Bike","","","","2024-04-26","","26447.08984375","165","359","454.293","","0.753055572509766","9.75500011444092","","81","","6","102","","","0.657691259766826","32.6","46","0","0","0","0","","","","","","11","29","5","1","0","0","","","","","",""
"Zwift - Pacer Group Ride: Watopia's Waistband in Watopia with Coco","Bike","","","","2024-04-27","","42220.6484375","190","380","740.997","","1.07694447040558","10.8900003433228","","85","","149","168","","","0.751720816822618","60.51","1","3","25","36","0","","","","","","4","35","20","4","1","0","","","","","",""
"Zwift - 01. Sweet Spot Foundation in Watopia","Bike","","","","2024-04-29","","38888.55859375","192","357","756.841","","1.08722221851349","9.9350004196167","","82","","3","116","","","0.788891242416791","67.61","65","1","0","0","0","","","","","","13","11","35","5","1","0","","","","","",""
"Zwift - Tempo With 30sec Spike #2 in Watopia","Bike","","","","2024-04-30","","43564.48828125","182","504","840.237","","1.27416670322418","9.49699974060059","","79","","145","174","","","0.767644081157711","74.7","2","11","28","32","4","","","","","","24","20","24","6","2","1","","","","","",""
"Zwift - Tractor Pulls in Watopia","Bike","","","","2024-05-02","","38713.8203125","180","513","717.786","","1.10166668891907","9.76099967956543","","79","","144","184","","","0.901159850222461","88.99","4","16","17","23","8","","","","","","30","23","1","4","2","6","","","","","",""
"Zwift - 03. Cadence and Cruise in Watopia","Bike","","","","2024-05-03","","32301.5","185","283","613.196","","0.916944444179535","9.78499984741211","","82","","147","177","","","0.771253573133308","54.17","0","11","16","22","6","","","","","","15","12","23","6","0","0","","","","","",""
"Zwift - Pacer Group Ride: Watopia's Waistband in Watopia with Maria","Bike","","","","2024-05-04","","59698.140625","196","352","1072.222","","1.5097222328186","10.9840002059937","","88","","150","171","","","0.779424356761669","91.47","0","6","33","50","1","","","","","","5","40","35","9","1","0","","","","","",""
"Zwift - The McCarthy Special in Watopia","Bike","","","","2024-05-06","","48616.37890625","188","321","924.356","","1.36083328723907","9.92300033569336","","77","","148","187","","","0.829000844858861","93.16","3","7","43","8","21","","","","","","15","38","4","12","9","3","","","","","",""
"Zwift - 04. Power Surge on Cote de Pike in Watopia","Bike","","","","2024-05-07","","35569.26953125","194","430","776.922","","1.1077778339386","8.91899967193604","","77","","149","184","","","0.831587616070579","76.36","2","8","21","22","14","","","","","","15","13","28","8","1","1","","","","","",""
"Zwift - Zwift Academy: Workout 4 | Fast Twitch HIIT in Watopia","Bike","","","","2024-05-09","","61365.69140625","186","448","1199.999","","1.78333330154419","9.55799961090088","","81","","144","191","","","0.821091362509443","119.92","1","17","56","24","10","","","","","","15","66","7","1","11","7","","","","","",""
"Zwift - Pacer Group Ride: Tempus Fugit in Watopia with Coco","Bike","","","","2024-05-10","","40390.87109375","189","340","696.841","","1.02388894557953","10.9569997787476","","86","","138","152","","","0.741366715614698","55.97","0","4","57","0","0","","","","","","2","39","19","2","1","0","","","","","",""
"Zwift - Baffling Beau in Watopia","Bike","","","","2024-05-12","","42091.37109375","199","444","893.656","","1.2413889169693","9.41800022125244","","84","","150","190","","","0.898389192595519","99.66","2","10","20","27","15","","","","","","22","27","2","3","10","11","","","","","",""
"Zwift - 05. Endurance Ascent in Watopia","Bike","","","","2024-05-13","","36370.48046875","188","261","692.237","","1.01694440841675","9.93400001525879","","83","","142","167","","","0.77427629667546","60.82","1","11","26","23","0","","","","","","12","18","26","5","0","0","","","","","",""
"Zwift - Pacer Group Ride: Tempus Fugit in Watopia with Maria","Bike","","","","2024-05-14","","37349.98046875","162","292","586.671","","1.00388884544373","10.3339996337891","","83","","125","144","","","0.640373891447651","40.94","0","56","4","0","0","","","","","","11","46","4","0","0","0","","","","","",""
"Zwift - Time Trial in Watopia","Bike","","","","2024-05-15","","48430.01953125","195","288","923.53","","1.31083333492279","10.2620000839233","","81","","145","184","","","0.835497875551394","91.27","3","23","19","15","19","","","","","","12","32","11","21","3","0","","","","","",""
"Zwift - 30/30sec Anaerobic #3 in Watopia","Bike","","","","2024-05-17","","48466.75","186","505","902.724","","1.33472228050232","10.0860004425049","","83","","148","181","","","0.806211987326354","86.55","2","12","23","34","9","","","","","","33","22","7","1","15","3","","","","","",""
"Zwift - Jon's Mix in Watopia","Bike","","","","2024-05-19","","42320.44140625","189","675","798.926","","1.17111110687256","10.0380001068115","","83","","155","182","","","0.842134499230202","82.08","0","5","22","21","22","","","","","","19","26","20","1","0","4","","","","","",""
"Zwift - Pacer Group Ride: Triple Flat Loops in Watopia with Maria","Bike","","","","2024-05-21","","56480.0703125","159","411","903.483","","1.56833338737488","10.0030002593994","","84","","134","154","","","0.643705254105685","64.61","4","20","69","1","0","","","","","","30","51","9","2","1","0","","","","","",""
"Zwift - Saw Legs in Watopia","Bike","","","","2024-05-22","","45164.1484375","192","439","900.666","","1.29611110687256","9.67899990081787","","82","","149","178","","","0.805442522776114","83.58","3","10","21","32","12","","","","","","16","16","33","11","1","1","","","","","",""
"Zwift - Pacer Group Ride: Triple Flat Loops in Watopia with Maria","Bike","","","","2024-05-23","","37153.58984375","159","336","580.629","","1.01194441318512","10.1979999542236","","86","","125","141","","","0.636177630137768","40.51","1","51","9","0","0","","","","","","18","35","5","1","0","0","","","","","",""
"Zwift - Workout of the Week | Tabata Time in Watopia","Bike","","","","2024-05-24","","27484.359375","200","354","558.372","","0.770326375961304","9.90999984741211","","80","","146","178","","","0.841664073121914","54.12","2","4","23","11","6","","","","","","11","18","4","2","2","9","","","","","",""
"Zwift - Race Simulation in Watopia","Bike","","","","2024-05-26","","41921.30859375","203","338","864.184","","1.17916667461395","9.875","","78","","149","187","","","0.854057048098852","85.23","1","10","24","25","11","","","","","","10","22","18","12","8","1","","","","","",""
"Zwift - SST (Med) in Watopia","Bike","","","","2024-05-28","","51712.05078125","209","277","1072.183","","1.42083334922791","10.1090002059937","","76","","153","175","","","0.84416683910837","100.72","3","9","12","45","17","","","","","","4","19","32","30","1","0","","","","","",""
"Zwift - Workout of the Week | Build and Release in Watopia","Bike","","","","2024-05-29","","32348.240234375","204","413","658.074","","0.890555560588837","10.08899974823","","79","","139","179","","","0.855298229331137","64.84","3","20","13","12","6","","","","","","3","30","8","7","1","5","","","","","",""
"Zwift - Sub Threshold #2 in Watopia","Bike","","","","2024-05-30","","45190.98828125","196","331","888.629","","1.25472223758698","10.003999710083","","83","","151","175","","","0.820625145847001","84.24","0","4","35","21","15","","","","","","9","30","8","25","3","0","","","","","",""
